Site_Name,Country,Site_ID,Latitude,Longitude,NE_Latitude_edge,NE_Longitude_edge,NW_Latitude_edge,NW_Longitude_edge,SW_Latitude_edge,SW_Longitude_edge,SE_Latitude_edge,SE_Longitude_edge,Tower_pixel_1km,Tower_pixel_500m,Tower_pixel_250m,Site_Data_Visualization_URL
"CIPHA-TBY3",Canada,fn_cacptby3,48.69687222,-89.08760833,48.725000,-89.097065,48.725000,-89.185493,48.666667,-89.082212,48.666667,-88.993887,25,92,380,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=209
"CIPHA-TOB1",Canada,fn_cacptob1,53.75094722,-103.0349361,53.783333,-103.059420,53.783333,-103.158149,53.725000,-103.014989,53.725000,-102.916397,25,105,433,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=210
"CIPHA-TOB2",Canada,fn_cacptob2,53.73728889,-103.0662167,53.766667,-103.088998,53.766667,-103.187688,53.708333,-103.044574,53.708333,-102.946021,25,106,407,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=211
"CIPHA-TOB3",Canada,fn_cacptob3,53.75211111,-103.0445444,53.783333,-103.073524,53.783333,-103.172254,53.725000,-103.029074,53.725000,-102.930482,25,106,435,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=212
"CIPHA-YPT1",Canada,fn_cacpypt1,55.16886944,-117.60825,55.200000,-117.645121,55.200000,-117.747332,55.141667,-117.575161,55.141667,-117.473099,25,105,405,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=213
"CIPHA-YPT2",Canada,fn_cacpypt2,55.16049167,-117.5957861,55.191667,-117.635107,55.191667,-117.737296,55.133333,-117.565194,55.133333,-117.463153,25,105,406,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=214
"CIPHA-YPT3",Canada,fn_cacpypt3,55.15843056,-117.5584639,55.191667,-117.605910,55.191667,-117.708099,55.133333,-117.536039,55.133333,-117.433999,25,106,435,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=215
"CIPHA-YRK1",Canada,fn_cacpyrk1,51.32637222,-103.088925,51.358333,-103.117778,51.358333,-103.211194,51.300000,-103.079979,51.300000,-102.986682,25,106,436,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=216
"CIPHA-YRK2",Canada,fn_cacpyrk2,51.33894722,-103.1116472,51.366667,-103.123195,51.366667,-103.216628,51.308333,-103.085367,51.308333,-102.992053,25,91,377,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=217
"CIPHA-YRK3",Canada,fn_cacpyrk3,51.31019167,-103.1599056,51.341667,-103.186999,51.341667,-103.280381,51.283333,-103.149157,51.283333,-103.055893,25,106,435,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=218
"COMPLET 163 (56.1129 N -69.3589 W)",Canada,fn_cacom163,56.1129,-69.3589,56.141667,-69.357024,56.141667,-69.461725,56.083333,-69.356513,56.083333,-69.251971,25,91,378,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=219
"COMPLET 165  (58.2903 N -117.9879 W)",Canada,fn_cacom165,58.2903,-117.9879,58.316667,-118.013109,58.316667,-118.124172,58.258333,-117.929705,58.258333,-117.818824,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=220
"COMPLET 170  (63.371N -96.5766 W)",Canada,fn_cacom170,63.371,-96.5766,63.400000,-96.610732,63.400000,-96.741011,63.341667,-96.544774,63.341667,-96.414760,25,92,379,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=221
"COMPLET 172  (64.4597N -68.996 W)",Canada,fn_cacom172,64.4597,-68.996,64.491667,-69.005441,64.491667,-69.140898,64.433333,-68.993721,64.433333,-68.858553,25,105,434,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=222
"Egbert- Environment Canada CARE",Canada,fn_caegbert,44.23261111,-79.781,44.258333,-79.772826,44.258333,-79.854274,44.200000,-79.775171,44.200000,-79.693804,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=223
"Egbert",Canada,fn_caegvrt2,44.22566667,-79.75,44.258333,-79.749555,44.258333,-79.831003,44.200000,-79.751924,44.200000,-79.670556,25,105,433,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=224
"Estevan Point",Canada,fn_caestevn,49.58444444,-126.3686111,49.616667,-126.408718,49.616667,-126.498753,49.558333,-126.347583,49.558333,-126.257656,25,106,435,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=225
"Fraserdale",Canada,fn_cafraser,49.87527778,-81.57016667,49.908333,-81.584872,49.908333,-81.675450,49.850000,-81.576833,49.850000,-81.486365,25,106,436,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=226
"Ontario- Groundhog River-Mature Boreal Mixed Wood",Canada,fn_cagrndhg,48.2167,-82.1556,48.241667,-82.145857,48.241667,-82.233446,48.183333,-82.139820,48.183333,-82.052331,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=227
"Hinton",Canada,fn_cahinton,53.1,-117.92,53.125000,-117.944329,53.125000,-118.041540,53.066667,-117.881609,53.066667,-117.784530,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=228
"Indian Head",Canada,fn_caindian,50.5644,-103.674683,50.591667,-103.687070,50.591667,-103.778957,50.533333,-103.650577,50.533333,-103.558804,25,91,378,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=229
"Kejimikujik",Canada,fn_cakejimk,44.5,-65.5,44.525000,-65.491302,44.525000,-65.573122,44.466667,-65.507559,44.466667,-65.425820,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=230
"Kejimkujik 2",Canada,fn_cakejim2,44.38333333,-65.28333333,44.408333,-65.267215,44.408333,-65.348872,44.350000,-65.283799,44.350000,-65.202223,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=231
"Larose (VALERI)",Canada,fn_calarose,45.38046389,-75.217,45.408333,-75.208374,45.408333,-75.291464,45.350000,-75.213827,45.350000,-75.130823,25,91,377,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=232
"Lethbridge",Canada,fn_calethbr,49.70927778,-112.9401667,49.741667,-112.974902,49.741667,-113.065168,49.683333,-112.929453,49.683333,-112.839295,25,106,436,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=233
"BOREAS NSA - Old Black Spruce",Canada,fn_ca03born,55.87962,-98.48081,55.908333,-98.495104,55.908333,-98.599175,55.850000,-98.451134,55.850000,-98.347220,25,91,377,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=234
"Eastern Peatland- Mer Bleue",Canada,fn_camerble,45.4094,-75.52,45.441667,-75.525967,45.441667,-75.609106,45.383333,-75.531051,45.383333,-75.447998,25,106,436,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=235
"Mont_Joli",Canada,fn_camontjo,48.59,-68.1927,48.616667,-68.182474,48.616667,-68.270712,48.558333,-68.191952,48.558333,-68.103816,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=236
"Mont_Joli 2",Canada,fn_camontj2,48.64,-68.156,48.666667,-68.149154,48.666667,-68.237479,48.608333,-68.158619,48.608333,-68.070396,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=237
"Munster/Sudbury",Canada,fn_camunste,46.85,-81.47,46.875000,-81.469125,46.875000,-81.554458,46.816667,-81.465945,46.816667,-81.380704,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=238
"New Brunswick- Nashwaak Lake 1",Canada,fn_canashw1,46.4722,-67.1,46.500000,-67.092360,46.500000,-67.177104,46.441667,-67.105144,46.441667,-67.020491,25,92,379,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=239
"New Brunswick- Nashwaak Lake 2",Canada,fn_canashw2,46.47583333,-67.07694444,46.508333,-67.078430,46.508333,-67.163186,46.450000,-67.091220,46.450000,-67.006555,25,106,436,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=240
"New Brunswick",Canada,fn_canewbr1,46,-66.8,46.025000,-66.789619,46.025000,-66.873631,45.966667,-66.803175,45.966667,-66.719251,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=241
"New Brunswick 2",Canada,fn_canewbr2,47.4,-66.2,47.425000,-66.193217,47.425000,-66.279438,47.366667,-66.206106,47.366667,-66.119980,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=242
"Newell County Rangeland- Alberta",Canada,fn_canewell,50.3,-111.64,50.325000,-111.653753,50.325000,-111.745122,50.266667,-111.608191,50.266667,-111.516934,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=243
"UCI-1930 burn site",Canada,fn_cansa30,55.90583333,-98.52472222,55.933333,-98.543774,55.933333,-98.647911,55.875000,-98.499659,55.875000,-98.395678,25,92,379,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=245
"UCI-1964 burn site",Canada,fn_cansab63,55.91166667,-98.38222222,55.941667,-98.401296,55.941667,-98.505455,55.883333,-98.357371,55.883333,-98.253367,25,105,405,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=246
"UCI-1981 burn site",Canada,fn_cansab81,55.86305556,-98.485,55.891667,-98.512239,55.891667,-98.616265,55.833333,-98.468292,55.833333,-98.364422,25,92,380,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=248
"UCI-1989 burn site",Canada,fn_cansab89,55.91666667,-98.96444444,55.941667,-98.981615,55.941667,-99.085775,55.883333,-98.936817,55.883333,-98.832814,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=249
"UCI-1998 burn site",Canada,fn_cansab98,56.63583333,-99.94833333,56.666667,-99.983201,56.666667,-100.089356,56.608333,-99.934713,56.608333,-99.828722,25,106,408,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=250
"BOREAS NSA Fen Pond",Canada,fn_cansafen,55.91481,-98.42072,55.941667,-98.431056,55.941667,-98.535215,55.883333,-98.387086,55.883333,-98.283083,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=252
"BOREAS NSA Old Jack Pine",Canada,fn_cansaojp,55.92842,-98.62396,55.958333,-98.652071,55.958333,-98.756276,55.900000,-98.607721,55.900000,-98.503673,25,106,408,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=254
"BOREAS NSA Young Jack Pine 2",Canada,fn_cansayj2,55.90277778,-98.29,55.933333,-98.320622,55.933333,-98.424760,55.875000,-98.276843,55.875000,-98.172862,25,106,408,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=255
"BOREAS NSA Young Jack Pine",Canada,fn_cansayjp,55.89575,-98.28706,55.925000,-98.314354,55.925000,-98.418469,55.866667,-98.270607,55.866667,-98.166649,25,106,408,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=256
"NorthWest Territories",Canada,fn_canwterr,61.5,-123.8,61.525000,-123.835425,61.525000,-123.957774,61.466667,-123.725596,61.466667,-123.603476,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=257
"Sask- SSA Old Aspen",Canada,fn_cassaoap,53.62889,-106.19779,53.658333,-106.226957,53.658333,-106.325393,53.600000,-106.178510,53.600000,-106.080210,25,106,408,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=258
"Sask- SSA Old Black Spruce",Canada,fn_cassaobs,53.98717,-105.11779,54.016667,-105.140007,54.016667,-105.239289,53.958333,-105.091988,53.958333,-104.992844,25,105,406,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=259
"Sask- SSA Old Jack Pine",Canada,fn_cassaojp,53.91634,-104.69203,53.941667,-104.710213,53.941667,-104.809317,53.883333,-104.663019,53.883333,-104.564054,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=260
"Ontario",Canada,fn_caontari,44.6,-76.6,44.625000,-76.586809,44.625000,-76.668770,44.566667,-76.591845,44.566667,-76.509966,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=261
"Ontario 2",Canada,fn_caontar2,48.9,-88.8,48.925000,-88.793833,48.925000,-88.882614,48.866667,-88.778957,48.866667,-88.690279,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=262
"Ontario 3",Canada,fn_caontar3a,50.3,-80.5,50.325000,-80.496691,50.325000,-80.588060,50.266667,-80.489309,50.266667,-80.398051,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=263
"Ontario 4",Canada,fn_caontari3b,44.6,-79.6,44.625000,-79.595953,44.625000,-79.677914,44.566667,-79.597969,44.566667,-79.516091,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=264
"Quebec",Canada,fn_caquebec,54.5,-75.7,54.525000,-75.701748,54.525000,-75.802262,54.466667,-75.694161,54.466667,-75.593790,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=265
"Quebec 2",Canada,fn_caquebe2,53.1,-77.7,53.125000,-77.699108,53.125000,-77.796319,53.066667,-77.690915,53.066667,-77.593836,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=266
"Quebec 3",Canada,fn_caquebe3,51.7,-61.4,51.725000,-61.386433,51.725000,-61.480604,51.666667,-61.401409,51.666667,-61.307359,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=267
"Quebec Boreal Cutover Site",Canada,fn_caquebct,49.267119,-74.0365,49.300000,-74.043017,49.300000,-74.132472,49.241667,-74.044866,49.241667,-73.955517,25,106,435,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=268
"Quebec Mature Boreal Forest Site",Canada,fn_caquebft,49.6925,-74.34206,49.725000,-74.341120,49.725000,-74.431356,49.666667,-74.342067,49.666667,-74.251940,25,105,433,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=269
"Research Farm Field 14",Canada,fn_carff140,45.29290278,-75.76691667,45.325000,-75.773254,45.325000,-75.856222,45.266667,-75.778231,45.266667,-75.695348,25,106,436,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=270
"Research Farm Field 25",Canada,fn_carff250,45.30235694,-75.74314722,45.333333,-75.748840,45.333333,-75.831820,45.275000,-75.753831,45.275000,-75.670937,25,106,408,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=271
"Sable Island",Canada,fn_casable,43.93333333,-60.01666667,43.958333,-60.001361,43.958333,-60.082397,43.900000,-60.023500,43.900000,-59.942544,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=272
"Sask- Fire 1977",Canada,fn_casaskfi,54.48503,-105.81757,54.516667,-105.848843,54.516667,-105.949337,54.458333,-105.798289,54.458333,-105.697939,25,105,434,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=273
"Sasketchewan",Canada,fn_casaskwa,50.3,-103.7,50.325000,-103.704590,50.325000,-103.795960,50.266667,-103.668770,50.266667,-103.577512,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=274
"Sherbrooke",Canada,fn_casherbr,45.4012,-71.9085,45.433333,-71.904733,45.433333,-71.987860,45.375000,-71.913565,45.375000,-71.830524,25,105,433,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=275
"Sask- SSA Fen",Canada,fn_cassafen,53.80206,-104.61798,53.833333,-104.651001,53.833333,-104.749848,53.775000,-104.604213,53.775000,-104.505503,25,106,436,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=276
"Sask- Fire 1989",Canada,fn_cafr1989,54.25392,-105.8775,54.283333,-105.905091,54.283333,-106.005015,54.225000,-105.855181,54.225000,-105.755398,25,106,407,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=277
"Sask- Fire 1998",Canada,fn_cafr1998,54.09156,-106.00526,54.116667,-106.019068,54.116667,-106.118590,54.058333,-105.969511,54.058333,-105.870129,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=278
"Sask- 1994 Harv. Jack Pine",Canada,fn_cajp1994,53.908,-104.656,53.933333,-104.675146,53.933333,-104.774230,53.875000,-104.628027,53.875000,-104.529081,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=279
"Sask- 2002 Harvested Jack Pine",Canada,fn_cajp2002,53.945,-104.649,53.975000,-104.680613,53.975000,-104.779796,53.916667,-104.633361,53.916667,-104.534316,25,106,408,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=280
"SSA_YJP_BOREAS",Canada,fn_cassayj2,53.675,-104.650002,53.700000,-104.657017,53.700000,-104.755551,53.641667,-104.610616,53.641667,-104.512219,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=283
"Sask- SSA 1975 Harv Yng Jack Pine",Canada,fn_cassyjp2,53.87581,-104.64529,53.908333,-104.683216,53.908333,-104.782240,53.850000,-104.636160,53.850000,-104.537273,25,106,436,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=284
"BOREAS SSA Young Aspen",Canada,fn_cassayap,53.65601,-105.32314,53.683333,-105.347270,53.683333,-105.445765,53.625000,-105.299964,53.625000,-105.201605,25,92,380,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=285
"Temagami",Canada,fn_catemaga,47.42,-80.35,47.450000,-80.347019,47.450000,-80.433281,47.391667,-80.344211,47.391667,-80.258044,25,105,405,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=286
"Ontario- Turkey Point Seedling White Pine",Canada,fn_caturke1,42.66093611,-80.55951944,42.691667,-80.554106,42.691667,-80.633470,42.633333,-80.557851,42.633333,-80.478562,25,105,405,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=287
"Ontario- Turkey Point Young White Pine",Canada,fn_caturk15,42.77441944,-80.458775,42.800000,-80.456495,42.800000,-80.535998,42.741667,-80.460183,42.741667,-80.380756,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=288
"Ontario- Turkey Point Middle-aged White Pine",Canada,fn_caturk30,42.70681111,-80.34831389,42.733333,-80.347264,42.733333,-80.426680,42.675000,-80.351145,42.675000,-80.271803,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=289
"Ontario- Turkey Point Mature White Pine",Canada,fn_caturk60,42.70977778,-80.3574,42.741667,-80.358062,42.741667,-80.437490,42.683333,-80.361922,42.683333,-80.282569,25,105,434,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=290
"Watson Lake",Canada,fn_cawatson,60.09,-129.38,60.116667,-129.423389,60.116667,-129.540469,60.058333,-129.311430,60.058333,-129.194557,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=291
"Western Peatland- LaBiche-Black Spruce/Larch Fen",Canada,fn_cawpeatl,54.95384,-112.46698,54.983333,-112.492762,54.983333,-112.594421,54.925000,-112.431105,54.925000,-112.329593,25,105,405,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=292
"Whitecourt",Canada,fn_cawhitec,54.04,-115.79,54.066667,-115.817359,54.066667,-115.916761,54.008333,-115.754216,54.008333,-115.654954,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=293
"COMPLET 128  (-1.2258 S 26.4476 E)",Dem. Republic of the Congo,fn_cdcom128,-1.2258,26.4476,-1.200000,26.472473,-1.200000,26.414126,-1.258333,26.414703,-1.258333,26.473051,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=294
"COMPLET 130  (0.5887 N 14.8347 E)",Dem. Republic of the Congo,fn_cdcom130,0.5887,14.8347,0.616667,14.867528,0.616667,14.809191,0.558333,14.809036,0.558333,14.867373,25,91,377,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=295
"Eucalyptus of Congo-Hinda",Dem. Republic of the Congo,fn_cdcongoe,-4,12,-3.975000,12.028937,-3.975000,11.970463,-4.033333,11.971316,-4.033333,12.029794,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=296
"COMPLET 133  (8.5726 N 19.9153 E)",Central African Republic,fn_cdcom133,8.5726,19.9153,8.600000,19.949302,8.600000,19.890306,8.541667,19.887254,8.541667,19.946241,25,91,377,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=297
"Ngotto Forest",Central African Republic,fn_cfngotto,3.87,17.3,3.900000,17.331802,3.900000,17.273334,3.841667,17.272144,3.841667,17.330608,25,105,406,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=298
"RAC",Central African Republic,fn_cfrac,9.44,26.01,9.466667,26.037932,9.466667,25.978793,9.408333,25.974397,9.408333,26.033526,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=299
"Alptal",Switzerland,fn_chalptal,47.04994966,8.713686083,47.075000,8.761105,47.075000,8.675452,47.016667,8.665970,47.016667,8.751529,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=300
"Beatenberg",Switzerland,fn_chbeaten,46.71639523,7.763335263,46.741667,7.806926,46.741667,7.721804,46.683333,7.713462,46.683333,7.798492,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=301
"Bettlachstock",Switzerland,fn_chbettla,47.22651701,7.41760247,47.258333,7.465319,47.258333,7.379370,47.200000,7.371252,47.200000,7.457107,25,105,434,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=302
"Celerina",Switzerland,fn_chcelery,46.49358,9.889847,46.525000,9.943734,46.525000,9.858952,46.466667,9.848381,46.466667,9.933073,25,105,433,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=303
"Chamau grassland",Switzerland,fn_chchamau,47.20833333,8.408333333,47.233333,8.455884,47.233333,8.369976,47.175000,8.360777,47.175000,8.446591,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=304
"Davos- Seehorn forest 2",Switzerland,fn_chdavoss,46.8175,9.859722222,46.850000,9.906264,46.850000,9.820970,46.791667,9.810321,46.791667,9.895522,25,106,435,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=305
"Fruebuel grassland",Switzerland,fn_chfrubul,47.11666667,8.533333333,47.141667,8.576061,47.141667,8.490300,47.083333,8.480999,47.083333,8.566666,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=306
"Jungfraujoch",Switzerland,fn_chjungfr,46.55,7.983333333,46.575000,8.025358,46.575000,7.940497,46.516667,7.931969,46.516667,8.016738,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=307
"Laegeren",Switzerland,fn_chlaeger,47.47808333,8.365,47.508333,8.413733,47.508333,8.327375,47.450000,8.318135,47.450000,8.404397,25,105,406,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=308
"Lausanne",Switzerland,fn_chlausan,46.58506175,6.65887258,46.616667,6.709118,46.616667,6.624193,46.558333,6.617068,46.558333,6.701902,25,105,433,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=309
"Nationalpark",Switzerland,fn_chntlprk,46.66391786,10.23098253,46.691667,10.278104,46.691667,10.193060,46.633333,10.182068,46.633333,10.267020,25,92,379,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=310
"Neunkirch",Switzerland,fn_chneunki,47.68506419,8.536882492,47.716667,8.583566,47.716667,8.496863,47.658333,8.487365,47.658333,8.573971,25,106,435,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=311
"Novaggio",Switzerland,fn_chnovagg,46.02390687,8.835419081,46.050000,8.885298,46.050000,8.801248,45.991667,8.791967,45.991667,8.875929,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=312
"Oensingen1 grass",Switzerland,fn_choensin,47.28563889,7.732138889,47.316667,7.780857,47.316667,7.694813,47.258333,7.686332,47.258333,7.772281,25,105,406,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=313
"Othmarsingen",Switzerland,fn_chothmar,47.40089342,8.427848416,47.433333,8.475650,47.433333,8.389415,47.375000,8.380131,47.375000,8.466270,25,106,435,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=315
"Payerne",Switzerland,fn_chpayern,46.8123,6.942099972,46.841667,6.993006,46.841667,6.907725,46.783333,6.900237,46.783333,6.985425,25,105,405,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=316
"Schanis",Switzerland,fn_chschani,47.16634179,9.06818829,47.191667,9.111448,47.191667,9.025607,47.133333,9.015702,47.133333,9.101449,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=317
"Davos- Seehorn forest",Switzerland,fn_chsehorn,46.81638889,9.856944444,46.841667,9.904727,46.841667,9.819447,46.783333,9.808802,46.783333,9.893990,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=319
"Vordemwald",Switzerland,fn_chvordem,47.27542076,7.887788806,47.308333,7.939402,47.308333,7.853371,47.250000,7.844717,47.250000,7.930653,25,105,433,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=320
"Lamto",Cote D'Ivoire,fn_cilamto,6.21,-5.03,6.241667,-5.004667,6.241667,-5.063348,6.183333,-5.062787,6.183333,-5.004112,25,106,436,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=321
"COMPLET 114  (-22.6371 S -68.6331 W)",Chile,fn_cdcom114,-22.6371,-68.6331,-22.608333,-68.587305,-22.608333,-68.650494,-22.666667,-68.679648,-22.666667,-68.616432,25,92,379,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=322
